"PDF_Name","green roof","species","biodiversity","roof","city","benefit","plant","habitat","diversity","ecosystem service"
"CA_Fresno_LO",0,1,0,1,1,0,1,1,0,0
"CA_Losangeles_LO",0,1,0,1,1,0,1,0,1,0
"CA_Oakland_LO",0,1,0,0,1,0,1,0,0,0
"CA_Sacremento_LO",0,1,0,1,1,0,1,1,0,0
"CA_San Diego_LO",0,1,0,0,1,0,1,1,0,0
"CA_Torrence_LO",0,1,0,1,1,0,1,1,0,0
"CO_Aurora_LO",0,1,0,0,1,0,1,0,0,0
"CO_Boulder_LO",0,1,0,0,1,0,1,0,0,0
"CO_Denver_LO",0,1,0,0,1,0,1,0,0,0
"FL_Delraybeach_LO",0,1,0,0,1,1,1,0,0,0
"FL_FortLauderdale_LO",0,1,0,1,1,0,1,1,1,0
"FL_Jacksonville_LO",0,1,0,0,1,0,1,0,0,0
"GE_Atlanta_LO",0,1,0,0,1,0,1,0,0,0
"IA_Ames_LO",0,1,0,1,1,0,1,0,1,0
"ID_Boise_LO",0,1,0,0,1,0,1,1,1,0
"IL_Springfield_LO",0,0,0,0,1,1,1,1,0,0
"KY_Frankfort_LO",0,1,0,0,1,1,1,0,0,0
"MD_Annapolis_LO",0,1,0,0,0,0,0,0,0,0
"MS_Jackson_LO",0,0,0,1,1,1,1,0,1,0
"NC_Durham_LO",0,1,1,0,1,0,1,1,0,0
"OR_Portland_LO",0,1,0,0,1,0,1,1,1,0
"PA_Middletown_LO",0,0,0,1,0,1,1,0,0,0
"SC_Columbia_LO",0,1,0,0,1,0,0,0,1,0
"VA_Alexandria_LO",0,1,0,0,1,0,1,0,1,0
"VA_Hampton_LO",0,1,0,0,1,0,1,0,0,0
"WA_Marysville_LO",0,1,0,0,1,0,1,0,0,0
"WI_Whitewater_LO",0,1,0,0,1,0,1,0,0,0
